canonical_field,business_definition,source_candidates,source_columns_by_schema,expected_type,confidence_rule,fallback_rule,owner_source_system,nullable,notes
current_stage,Canonical lifecycle stage from v1 LOT_STATE_WATERFALL,"LotData.{horz_*_date; vert_*_date} | clickup.status | inventory.lot_status",derived from date fields per pipelines/config.py:LOT_STATE_WATERFALL,enum:PROSPECT|LAND_OWNED|HORIZONTAL_IN_PROGRESS|FINISHED_LOT|VERTICAL_PURCHASED|VERTICAL_IN_PROGRESS|VERTICAL_COMPLETE|SOLD_NOT_CLOSED|CLOSED,high if waterfall converges; medium if only one date is populated; low if inferred from inventory.lot_status only,LotData waterfall > inventory.lot_status > ClickUp.status,LotData,false,Drives completion_pct via LOT_STATE_TO_PCT_COMPLETE
completion_pct,Approximate % complete from current_stage (v1 mapping),pipelines/config.py:LOT_STATE_TO_PCT_COMPLETE,n/a (derived),float,inherits current_stage confidence,n/a,derived,true,Note: PROSPECT and CLOSED return null in v1 mapping
posting_date,GL posting date for the transaction,"gl_v2.posting_date","datarails_38col: PostingDate; vertical_financials_46col: Posting Date; qb_register_12col: Date",date,high for all 3 source schemas,n/a (NOT NULL),GL,false,Required (NOT NULL)
amount,Signed transaction amount; positive = debit; negative = credit,gl_v2.amount,each schema (already normalized in v2),currency_usd,"high for VF and QB; high after dedup for DR (raw is 2.16x multiplied at source)",n/a,GL,false,DR consumers MUST dedup before summing. See guardrail_check_v0.md DataRails dedup decision.
account_code,GL account code,gl_v2.account_code,"datarails_38col: AccountCode; vertical_financials_46col: Account; qb_register_12col: parsed from header",string,high for DR + VF; medium for QB (parsed),n/a,GL,false,DR/VF share legacy 4-digit chart; QB uses different newer chart with zero overlap to DR/VF.
account_name,GL account name,gl_v2.account_name,each schema,string,DR 53.77% fill; VF 100%; QB 100%,GL.account_name,GL,true,Useful for human readability when account_code requires chart lookup
cost_category,Business cost grouping mapped from account_code,canonical_cost_category rules,rule-based on (source_schema; account_code),enum:PERMITS_FEES|DIRECT_CONSTRUCTION_LOT|SHARED_COST_ALLOC|DIRECT_CONSTRUCTION_VERTICAL|VERTICAL_COSTS|LOT_COST_TOTAL|INDIRECTS|LAND_ACQUISITION|INTEREST_EXPENSE,high for explicit mappings; medium for rule-derived; low for QB-only,n/a,canonical_cost_category,true,See data/staged/canonical_cost_category.csv
actual_cost,Realized cost — sum of GL amount filtered by category and scope,"staged_gl_transactions_v2.amount filtered + grouped",VF (primary 2018-2025) + DR-dedup (2016-2017),currency_usd,high for VF; high after dedup for DR; tie-out only for QB,VF > DR-dedup; never QB,GL,true,Per-lot grain only available where lot is populated (VF 100%; DR 49.5%)
budget_cost,Budgeted/expected cost from allocation workbooks,"LH Allocation - LH.csv | Parkway Allocation - PF.csv | Flagship Allocation v3 - Per-Lot Output.csv (mostly empty)",per-workbook column ordering,currency_usd,high for per-lot output (LH and PF); medium for per-phase totals; low for indirect pools and Flagship-empty,LH/PF > Flagship > OfferMaster fallback,Allocation workbooks,true,Only LH and PF have populated allocations in v0
remaining_cost,budget_cost - actual_cost,derived,n/a,currency_usd,inherits min(budget_cost; actual_cost) confidence,n/a,derived,true,Negative values mean over budget
collateral_value,Lender-recognized value at as_of date,Collateral Report,"Collateral Report: Total Lot Value; Borrowing Base; Advance %; Loan $",currency_usd,high for as-of date 2025-12-31; n/a for projects without rows (7 missing),n/a,Collateral Report,true,9 of 16 active BCPD projects have rows
collateral_bucket,Lender bucket per pipelines/config.py:LOT_STATE_TO_COLLATERAL_BUCKET,"derived from current_stage; or 2025Status.Collateral Bucket",derived,enum:Raw Land|Land Under Development|Finished Lots|Vertical WIP|Completed Inventory|Sold Inventory|N/A,inherits current_stage,n/a,derived,true,Used for advance-rate weighted exposure
inventory_status,Status from the inventory closing report,inventory.lot_status,inventory: derived,enum:ACTIVE|CLOSED|ACTIVE_PROJECTED,high after stage validation,n/a,Inventory,false,Same as lot_status — alias
sale_date,Recorded sale date (under contract),inventory.sale_date,"INVENTORY: SALE DATE; CLOSED: SALE DATE",date,high if from INVENTORY tab; medium for CLOSED tab,n/a,Inventory,true,Excel sentinel 1899-12-30 treated as null
closing_date_actual,Actual close-of-O date,inventory.closing_date,"CLOSED: Closing Date (where <= as_of)",date,high for actual closings; n/a for projected,n/a,Inventory,true,closing_date > as_of becomes ACTIVE_PROJECTED
closing_date_projected,Projected closing date,inventory.closing_date,"CLOSED: Closing Date (where > as_of); CLOSINGS: ESTIMATED CLOSING",date,medium (forward projection),inventory > CLOSINGS pipeline,Inventory,true,Up to 2027-06-07 in source data
permit_pulled_date,Permit pull date,inventory.permit_pulled_date,"INVENTORY: PERMIT PULLED",date,high,n/a,Inventory,true,
sales_price,Sales price recorded in inventory,inventory.sales_price,"INVENTORY: SALES PRICE; CLOSED: SALE PRICE",currency_usd,high if from INVENTORY,n/a,Inventory,true,
deposit,Earnest-money deposit,inventory.deposit,"INVENTORY: DEPOSITS; CLOSED: DEPOSITS",currency_usd,high,n/a,Inventory,true,
margin_pct,Gross margin %,inventory.margin_pct,"INVENTORY: Margin",float,high if from INVENTORY; missing for CLOSED rows,n/a,Inventory,true,Excluded from CLOSED tab
buyer,Buyer name or SPEC/MODEL placeholder,inventory.buyer,"INVENTORY: BUYER; CLOSED: BUYER",string,high,n/a,Inventory,true,
plan_name,Model/plan name,inventory.plan_name,"INVENTORY: PLAN; CLOSED: PLAN",string,high,n/a,Inventory,true,
clickup_status,ClickUp task status (raw),clickup.status,clickup,enum:Open|under construction|walk stage|ready close|waiting for new starts|...,high for the lot-tagged subset (n=1177),n/a,ClickUp,true,Apply only when (subdivision; lot_num) both populated
walk_date,ClickUp walk-stage date,clickup.walk_date,clickup,date,sparse (1.78% in lot-tagged),n/a,ClickUp,true,
projected_close_date_clickup,ClickUp-side projected close,clickup.projected_close_date,clickup,date,sparse (4.76% in lot-tagged),n/a,ClickUp,true,
actual_c_of_o,ClickUp-recorded actual C of O,clickup.actual_c_of_o,clickup,date,medium (22.77% in lot-tagged),n/a,ClickUp,true,
sold_date_clickup,ClickUp-recorded sold date,clickup.sold_date,clickup,date,sparse (4.76%),n/a,ClickUp,true,
source_file,File the value originated from,always populated,n/a (provenance),string,n/a,n/a,provenance,false,
source_row_id,Row identifier within the source file,"gl_v2: source_row_id; inventory: source_row_number; clickup: index",n/a,int,n/a,n/a,provenance,true,
source_confidence,Per-row rollup of all field confidences (worst-link),computed in canonical builder,n/a,enum:high|medium|low|unmapped,worst-link of contributing fields,n/a,derived,false,Used by consumers to filter quality
as_of_date,Snapshot timestamp,inventory.as_of_date | collateral.As of Date | gl.posting_date max,n/a,date,n/a,n/a,Inventory + Collateral,false,2026-04-29 for inventory; 2025-12-31 for collateral; 2025-12-31 for GL VF max
